company_id,investor_id,ticker,company_name,investor_name,institution_type,OS_0,POS_0,MKTVAL_0,report_date_0,total_aum,aum_bin,OS_30,POS_30,MKTVAL_30,report_date_30,diff_OS_30,diff_POS_30,diff_MKTVAL_30,OS_90,POS_90,MKTVAL_90,report_date_90,diff_OS_90,diff_POS_90,diff_MKTVAL_90,OS_180,POS_180,MKTVAL_180,report_date_180,diff_OS_180,diff_POS_180,diff_MKTVAL_180,OS_270,POS_270,MKTVAL_270,report_date_270,diff_OS_270,diff_POS_270,diff_MKTVAL_270,OS_360,POS_360,MKTVAL_360,report_date_360,diff_OS_360,diff_POS_360,diff_MKTVAL_360,CountryCode,CompanyCountry,FactsetIndustryDescr,SicDescription,Sector
MXPRKX-S,000YPS-E,FRO-US,Frontline Ltd.,Washington State Investment Board,Pension Fund Manager,0.0024364841285414345,4959,54201.869999999995,2012-06-30T00:00:00.000+0000,null,null,0.0024364841285414345,4959,54201.869999999995,2012-06-30T00:00:00.000+0000,0,0,0,0.0024364841285414345,4959,54201.869999999995,2012-06-30T00:00:00.000+0000,0,0,0,0.0024364841285414345,4959,54201.869999999995,2012-06-30T00:00:00.000+0000,0,0,0,0.0024364841285414345,4959,58813.74,2012-06-30T00:00:00.000+0000,0,0,-4611.870000000003,0.0024364841285414345,4959,48003.119999999995,2012-06-30T00:00:00.000+0000,0,0,6198.75,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,0018FV-E,FRO-US,Frontline Ltd.,Royal Bank of Canada,Corporate,0.001657732899717443,3374,36877.82,2012-06-30T00:00:00.000+0000,null,null,0.001657732899717443,3374,36877.82,2012-06-30T00:00:00.000+0000,0,0,0,0.001657732899717443,3374,36877.82,2012-06-30T00:00:00.000+0000,0,0,0,0.001657732899717443,3374,36877.82,2012-06-30T00:00:00.000+0000,0,0,0,0.001657732899717443,3374,40015.64,2012-06-30T00:00:00.000+0000,0,0,-3137.8199999999997,0.001657732899717443,3374,32660.32,2012-06-30T00:00:00.000+0000,0,0,4217.5,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,0020GL-E,FRO-US,Frontline Ltd.,Vanguard Fiduciary Trust Co.,Investment Adviser,0.39669538463724485,807398,8824860.14,2022-06-30T00:00:00.000+0000,null,null,0.39669538463724485,807398,8824860.14,2022-06-30T00:00:00.000+0000,0,0,0,0.39669538463724485,807398,8824860.14,2022-06-30T00:00:00.000+0000,0,0,0,0.39669538463724485,807398,8824860.14,2022-06-30T00:00:00.000+0000,0,0,0,0.39669538463724485,807398,9575740.28,2022-06-30T00:00:00.000+0000,0,0,-750880.1399999987,0.35702230862850615,726651,7033981.68,2022-03-31T00:00:00.000+0000,0.039673076008738706,80747,1790878.460000001,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002GB5-E,FRO-US,Frontline Ltd.,Manulife Investment Management (US) LLC,Investment Adviser,0.05053677848225748,102858,1124237.94,2022-06-30T00:00:00.000+0000,220729,0-10M,0.05053677848225748,102858,1124237.94,2022-06-30T00:00:00.000+0000,0,0,0,0.05053677848225748,102858,1124237.94,2022-06-30T00:00:00.000+0000,0,0,0,0.05053677848225748,102858,1124237.94,2022-06-30T00:00:00.000+0000,0,0,0,0.05053677848225748,102858,1219895.88,2022-06-30T00:00:00.000+0000,0,0,-95657.93999999994,0.08295690456046005,168843,1634400.24,2022-03-31T00:00:00.000+0000,-0.03242012607820257,-65985,-510162.30000000005,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002HF7-E,FRO-US,Frontline Ltd.,Beta Management Ltd.,Hedge Fund Manager,0.0022207921478135276,4520,49403.6,2003-09-30T00:00:00.000+0000,null,null,0.0022207921478135276,4520,49403.6,2003-09-30T00:00:00.000+0000,0,0,0,0.0022207921478135276,4520,49403.6,2003-09-30T00:00:00.000+0000,0,0,0,0.0022207921478135276,4520,49403.6,2003-09-30T00:00:00.000+0000,0,0,0,0.0022207921478135276,4520,53607.2,2003-09-30T00:00:00.000+0000,0,0,-4203.5999999999985,0.0022207921478135276,4520,43753.6,2003-09-30T00:00:00.000+0000,0,0,5650,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002HH9-E,FRO-US,Frontline Ltd.,"Salus Capital Management, Inc.",Hedge Fund Manager,0.0006082612121666255,1238,13531.34,2009-03-31T00:00:00.000+0000,null,null,0.0006082612121666255,1238,13531.34,2009-03-31T00:00:00.000+0000,0,0,0,0.0006082612121666255,1238,13531.34,2009-03-31T00:00:00.000+0000,0,0,0,0.0006082612121666255,1238,13531.34,2009-03-31T00:00:00.000+0000,0,0,0,0.0006082612121666255,1238,14682.679999999998,2009-03-31T00:00:00.000+0000,0,0,-1151.3399999999983,0.0006082612121666255,1238,11983.84,2009-03-31T00:00:00.000+0000,0,0,1547.5,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002HNF-E,FRO-US,Frontline Ltd.,"Citigroup Global Markets, Inc. (Broker)",Broker,0.00009187790523033843,187,2043.9099999999999,2022-06-30T00:00:00.000+0000,null,null,0.00009187790523033843,187,2043.9099999999999,2022-06-30T00:00:00.000+0000,0,0,0,0.00009187790523033843,187,2043.9099999999999,2022-06-30T00:00:00.000+0000,0,0,0,0.00009187790523033843,187,2043.9099999999999,2022-06-30T00:00:00.000+0000,0,0,0,0.00009187790523033843,187,2217.8199999999997,2022-06-30T00:00:00.000+0000,0,0,-173.90999999999985,0.000011300491017635207,23,222.64,2022-03-31T00:00:00.000+0000,0.00008057741421270322,164,1821.27,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002HP5-E,FRO-US,Frontline Ltd.,Teachers Advisors LLC,Investment Adviser,0.13413535440224064,273007,2983966.51,2022-06-30T00:00:00.000+0000,471688,0-10M,0.13413535440224064,273007,2983966.51,2022-06-30T00:00:00.000+0000,0,0,0,0.13413535440224064,273007,2983966.51,2022-06-30T00:00:00.000+0000,0,0,0,0.13413535440224064,273007,2983966.51,2022-06-30T00:00:00.000+0000,0,0,0,0.13413535440224064,273007,3237863.02,2022-06-30T00:00:00.000+0000,0,0,-253896.51000000024,0.13235429875272206,269382,2607617.76,2022-03-31T00:00:00.000+0000,0.0017810556495185814,3625,376348.75,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002HRW-E,FRO-US,Frontline Ltd.,Continental Casualty Co.,Corporate,0.024566284820946103,50000,546500,2002-06-30T00:00:00.000+0000,null,null,0.024566284820946103,50000,546500,2002-06-30T00:00:00.000+0000,0,0,0,0.024566284820946103,50000,546500,2002-06-30T00:00:00.000+0000,0,0,0,0.024566284820946103,50000,546500,2002-06-30T00:00:00.000+0000,0,0,0,0.024566284820946103,50000,593000,2002-06-30T00:00:00.000+0000,0,0,-46500,0.024566284820946103,50000,484000,2002-06-30T00:00:00.000+0000,0,0,62500,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
MXPRKX-S,002HXG-E,FRO-US,Frontline Ltd.,"Charles Schwab Investment Management, Inc.",Investment Adviser,0.13548256946182133,275749,3013936.57,2022-06-30T00:00:00.000+0000,700818,0-10M,0.13548256946182133,275749,3013936.57,2022-06-30T00:00:00.000+0000,0,0,0,0.13548256946182133,275749,3013936.57,2022-06-30T00:00:00.000+0000,0,0,0,0.13548256946182133,275749,3013936.57,2022-06-30T00:00:00.000+0000,0,0,0,0.13548256946182133,275749,3270383.1399999997,2022-06-30T00:00:00.000+0000,0,0,-256446.56999999983,0.13472985849490754,274217,2654420.56,2022-03-31T00:00:00.000+0000,0.0007527109669137888,1532,359516.0099999998,BM,Bermuda,Marine Shipping,Deep Sea Foreign Transportation of Freight,Transportation
